"zip","1br_rent","2br_rent","3br_rent","studio_rent","all_rent","1br_availability","2br_availability","3br_availability","studio_availability","population","population_density","median_household_income","mean_household_income","land_area","water_area","white","black","asian","hispanic","male_population","median_age"
"94805","1320.0","1775.0","2000.0","995.0","1450.0","8","6","5","3","13648","6873.1","62901","74102","1.99","0","46.3","15.1","14.7","31.4","48.2","40"
"94806","1400.0","1800.0","2197.0","1075.0","1744.0","14","19","14","4","59861","6990.8","52783","66054","8.33","0.23","31.5","19.9","17.5","46.3","49.1","33.2"
"94901","2133.0","2460.0","3775.0","1600.0","2235.0","96","54","20","13","41157","2429.4","72087","109802","13.16","3.78","67.9","1.8","5.2","36","51.6","37.9"
"94903","2062.0","2822.0","3875.0","","2547.0","30","32","15","1","29040","1403.7","86774","115495","20.05","0.63","79.7","2.1","7.6","13.6","46.7","46.9"
"94904","2000.0","3100.0","4245.0","","2950.0","8","12","8","1","11995","1619.9","99878","173203","7.24","0.16","87.7","1.3","4.5","6.6","45.9","48.8"
"94920","2900.0","3900.0","7200.0","","3902.0","11","33","17","1","12474","1055.9","136926","234062","6.53","5.28","89.3","0.7","5.1","4.4","46.5","49"
"94922","","","","","","0","0","0","0","425","34.4","30250","29348","12.32","0.03","77.4","0.5","0.7","23.8","50.6","44.3"
"94923","","1850.0","","","1850.0","0","4","0","0","1411","61.7","74556","124026","21.4","1.45","89.7","0.4","2.5","9.9","51.1","57.3"
"94924","","","","","","0","2","0","0","1638","59.9","54635","92887","23.12","4.21","86.8","1.7","1","15.9","53.6","49.2"
"94925","2098.0","3000.0","4460.0","","3000.0","15","13","17","0","9253","2187.8","107723","147461","3.16","1.07","84.4","0.9","6.8","8.3","46.6","44.2"
"94928","1450.0","1925.0","2300.0","","1735.0","57","53","22","2","43170","5604","56651","70241","7.7","0","76.3","1.9","5.3","21.6","48","31.1"
"94929","","","","","","0","0","0","0","264","248.6","155069","125618","1.06","0","93.6","NA","1.5","3.4","48.9","58.3"
"94930","1775.0","2350.0","3725.0","","2350.0","5","8","4","0","8500","520.6","99521","117264","15.92","0.41","89.3","1.4","2.8","6.6","48.8","46.1"
"94931","1100.0","1450.0","2375.0","","1550.0","3","12","12","2","8470","1331","66054","85632","6.35","0.01","82.4","1.6","3.6","16.8","47.9","37.8"
"94933","","","","","2250.0","2","0","1","0","865","790.2","73229","108735","1.09","0","91","1.9","0.6","7.9","48.8","48.5"
"94937","","","","","","0","0","1","0","837","15.8","49750","90011","41.6","11.31","87.1","1.1","1.2","16.6","46","54.7"
"94938","","","","","","0","1","0","0","812","76.7","94063","108588","10.58","0","91","0.9","0.7","7.9","49.1","48.3"
"94939","2850.0","3395.0","3375.0","","3250.0","20","37","4","0","6859","3068.6","94664","161317","2.14","0.1","89","1.1","3.9","6.6","46.4","46.5"
"94940","","","","","","0","0","0","1","268","10.1","22279","56476","22.77","3.75","88.8","NA","0.4","14.2","51.5","54"
"94941","2385.0","2795.0","4700.0","1732.0","2900.0","18","31","23","7","30496","1328.4","106752","160776","22.23","0.72","86.8","1.1","6.5","5.1","47.3","45.5"
"94945","2410.0","3339.0","2697.0","","2647.0","24","33","8","1","17167","639","81661","113648","26.01","0.86","80.1","1.9","6.2","19.3","49.2","44.7"
"94946","","","","","","1","0","0","0","699","15.5","158333","182973","43.68","1.39","89.3","0.7","1.7","11.7","52.2","47.7"
"94947","1550.0","2085.0","2995.0","","2128.0","6","13","13","0","24283","1060.7","83873","107005","22.69","0.2","78","2.6","6","18.9","48","44.1"
"94949","1725.0","2100.0","3000.0","","2100.0","16","23","7","0","17202","1058.3","83415","108021","15.03","1.23","74.3","3","6.7","22.1","48.2","41.7"
"94950","","","","","","0","0","0","0","89","10.3","2499","20147","8.6","0","80.9","NA","1.1","15.7","51.7","51.5"
"94951","","2200.0","","","2200.0","1","3","1","0","4124","281.4","91000","112264","14.66","0","87.7","0.9","2.5","11.1","50.2","45.2"
"94952","1662.0","1750.0","2275.0","1424.0","1825.0","26","33","10","6","32858","181.1","74205","95416","180.24","1.16","85.5","1","2.1","16.7","49.8","42.1"
"94954","1693.0","2000.0","2429.0","","1990.0","44","70","15","0","37365","581.4","78154","91191","62","2.27","77.9","1.6","5.7","24","49.1","39.4"
"94956","","","","","1600.0","2","1","0","0","1756","25.2","59091","113380","58.41","11.26","85.1","0.8","1.3","19.3","45.6","51.1"
"94957","","","","","","0","0","0","0","1332","1164.1","128313","265567","1.14","0","94.2","0.2","1.6","3.7","48","46.4"
"94960","1800.0","2295.0","4400.0","1550.0","1850.0","13","7","4","5","15740","2652.7","106360","145436","5.93","0","90.5","0.8","3.7","5.4","47","45.3"
"94963","","","","","","0","0","0","0","569","213.8","98221","112278","2.66","0","94.2","0.9","0.5","4.6","48.3","51.4"
"94964","","","","","","0","0","0","0","5094","13066.7","82325","NA","0.39","0","40.4","39.3","1.4","19.5","97.6","40.8"
"94965","2326.0","3550.0","4800.0","1450.0","2912.0","37","38","9","3","10847","609","102708","135866","13.52","4.29","78","10.1","6.2","6.4","47.1","47.9"
"94970","","","","","","1","0","0","0","683","98.2","80114","87709","6.96","0","92.1","0.6","2.5","4.8","49.2","55.4"
"94971","","","","","","0","2","0","0","337","23.6","54348","89439","12.38","1.92","93.5","0.6","1.5","8","46.3","49.8"
"94972","","","","","","0","0","0","0","52","4.1","NA","NA","11.57","1.14","57.7","NA","NA","46.2","57.7","30.8"
"94973","","","3100.0","","3100.0","0","0","3","0","1429","358.7","67386","112215","3.98","0","91.3","0.3","2","5.8","48.3","50.4"
"95002","","","","","","0","0","0","1","2077","145.5","83125","94243","11.97","2.31","37.8","2.1","17.4","61.2","51","35.4"
"95003","1365.0","1775.0","2800.0","","2497.0","7","15","19","1","23974","656.6","82612","102882","35.15","1.37","86.9","0.8","3.5","11.8","48.4","46.2"
"95004","","","","","","1","0","0","0","3918","215.6","74890","110439","18.15","0.02","73.4","0.7","2","35.6","50.1","43.8"
"95005","1300.0","","","","1200.0","4","0","1","2","6311","517.3","78438","95589","11.94","0.26","91","0.6","1.1","8.2","50.7","43.7"
"95006","","1800.0","3700.0","","2550.0","0","3","7","0","8979","167.8","82462","98807","53.49","0","90.6","0.9","1.5","7.7","51.9","46"
"95007","","","","","","0","0","0","1","676","1181.2","143447","148484","0.57","0","88.5","0.2","0.6","12.3","51.8","40.6"
"95008","1825.0","2312.0","3347.0","1750.0","2099.0","77","78","30","11","45260","6981.9","83306","105661","6.39","0.09","66.2","3","17","18.1","49.1","38.5"
"95010","1850.0","2175.0","3000.0","1195.0","2187.0","7","23","11","3","9137","5565.3","53220","79884","1.37","0.27","81.5","1.2","4.1","18.8","47.3","42.2"
"95013","","","","","","0","0","0","0","80","52.4","NA","NA","1.53","0","37.5","NA","5","60","57.5","38.6"
"95014","2633.0","3295.0","3850.0","1888.0","3213.0","119","281","75","9","60717","2243.7","125168","147786","26.93","0.13","31.5","0.7","63","3.8","49.4","39.5"
"95017","","","","","","0","0","0","0","834","15.8","57500","78252","50","2.68","77.5","1.4","2.2","27.3","55","43.4"
"95018","1300.0","","","","2000.0","3","2","2","1","7778","413.8","74091","90310","18.8","0","91","0.7","1.5","7.8","50.2","43.5"
"95019","","2000.0","","1000.0","1600.0","1","4","1","3","7727","6364.1","40139","49861","1.21","0","43.9","0.9","2.8","83.2","49.7","28.3"
"95020","1700.0","1995.0","2447.0","1200.0","1995.0","18","21","14","4","57349","365.7","80734","97387","155.94","0.89","59.8","1.8","6.8","56","49.9","33.3"
"95023","1017.0","","1772.0","","1522.0","4","1","4","1","48841","118.2","64284","78960","412.35","0.75","63","0.9","2.6","58.7","50","33.4"
"95030","2450.0","3550.0","6500.0","1895.0","2895.0","18","15","15","7","12791","1224.9","150355","217509","10.44","0","86","0.5","9.1","5","48.4","48.1"
"95032","2200.0","2800.0","3750.0","2536.0","2800.0","19","62","19","3","25089","1565.7","122512","154043","15.89","0.14","79.6","0.9","12.3","7.7","48.3","43.7"
"95033","1700.0","2000.0","3650.0","","2000.0","5","3","5","0","9372","101.4","120795","153747","91.68","0.74","90","0.4","3.7","7.2","51.7","46.7"
"95035","2355.0","2687.0","3172.0","2155.0","2555.0","84","86","64","7","66943","2872.7","99527","113492","23.24","0.06","20.7","2.9","62.1","16.8","51.1","36.1"
"95037","1600.0","1875.0","2500.0","","1967.0","9","6","9","2","45579","185.5","93604","122241","243.32","2.44","66.2","1.8","10","33.4","49.8","38"
"95039","","","","","","0","0","0","0","1377","82.5","46944","56976","14.74","1.94","57.7","1.7","2","63.8","51.4","35.6"
"95045","","","","","1725.0","0","2","2","0","4046","85.3","58625","81329","47.41","0.03","62.2","1","3.5","45.2","49.6","40.7"
"95046","","","","","","0","1","0","0","6417","328.7","83844","118582","19.48","0.04","62.1","0.5","6.8","44.9","50.8","38.7"
"95050","1790.0","2204.0","2750.0","1420.0","2204.0","51","115","33","4","35923","6807.6","65371","84184","5.28","0","55","3.3","23.5","25.8","50.3","33.9"
"95051","2185.0","2695.0","3282.0","1550.0","2500.0","112","105","44","5","54327","8159.4","100375","114394","6.66","0","44.6","2.2","39.9","17.8","50.2","35.9"
"95053","","","","","","0","0","0","0","2206","12925.5","NA","NA","0.17","0","63.6","3.8","17.7","18.5","46.6","19.7"
"95054","2673.0","3244.0","3864.0","","3025.0","41","46","26","0","23364","3730.1","115068","127989","6.26","0","27.9","3","56.7","13.5","51.7","32.9"
"95060","1550.0","2497.0","3325.0","1300.0","2350.0","42","54","34","16","46377","652.1","64232","90369","67.83","3.3","77.2","1.8","5.9","18.6","51.3","34.7"
"95062","1600.0","2165.0","3500.0","1100.0","2165.0","21","40","21","7","36079","5709.7","60446","77252","5.05","1.27","78.4","1.3","3.7","22","49.4","38.5"
"95064","","","","","","0","0","0","0","7331","3908.5","51678","63647","1.88","0","57.4","1.9","21.5","21.4","46.5","19.7"
"95065","1470.0","","3700.0","","1700.0","4","2","3","0","8113","725.1","80269","113113","11.19","0","81.5","1.1","3.3","18.9","49","42.9"
"95066","","2200.0","2850.0","","2450.0","1","6","5","1","14749","778.2","111542","123312","18.95","0","87","0.8","4.6","9.4","49.2","42.4"
"95070","1975.0","2900.0","4200.0","","3450.0","5","7","17","2","30617","1199.8","156762","203896","25.49","0.02","54.3","0.3","40.9","3.5","48.9","47.8"
"95073","1550.0","2000.0","","1025.0","1600.0","6","4","2","4","10154","478.9","68955","104066","21.2","0","84.5","0.7","2.8","15","49.1","45"
"95075","","","","","","0","0","0","0","331","3.6","62500","102053","93.01","0.15","82.8","0.3","0.6","28.4","53.5","43.7"
"95076","1375.0","1950.0","2400.0","1000.0","1950.0","9","12","12","5","82474","592.5","56620","71101","136.6","2.61","51.2","0.7","3.2","70.5","50.6","31.1"
"95110","2258.0","2755.0","3209.0","2495.0","2495.0","57","36","8","11","18730","4013.7","63125","79215","4.67","0","46.4","3.7","10.1","63.1","57.3","31.7"
"95111","1325.0","1900.0","2600.0","1184.0","1295.0","7","7","12","23","58466","10825.8","56400","69781","5.39","0.01","30.5","3.6","33.8","51.2","50.5","31.8"
"95112","1795.0","2550.0","2800.0","1450.0","2287.0","91","89","31","31","55927","7885.1","48070","69909","7.09","0","44","4.4","23.5","44.5","53.8","30.4"
"95113","2528.0","3888.0","","2000.0","2850.0","23","13","2","3","893","2618","19737","51372","0.34","0","43.1","15","32.6","13.3","53.1","38"
"95116","1550.0","2167.0","2780.0","","1950.0","20","22","9","1","51496","14382.4","48838","60100","3.58","0","33.8","2.5","23.9","65.4","51.1","30.8"
"95117","1795.0","2195.0","3095.0","1450.0","2095.0","41","69","21","3","30067","11692.8","64285","84424","2.57","0","49.8","5.3","20.4","34.8","50.6","33.6"
"95118","1825.0","2000.0","2995.0","1560.0","1955.0","16","23","11","4","31932","7703.5","86471","102110","4.15","0","67.7","2.1","12.9","26.4","49.1","37.4"
"95119","","2295.0","3000.0","","2295.0","0","15","5","1","9970","3520.2","110974","118519","2.83","0","58.9","3.6","18.6","29.7","50.4","36.8"
"95120","1900.0","","3375.0","","2950.0","5","2","10","1","37457","925.5","148801","171065","39.76","0.72","63.3","0.8","29.6","6.9","49.7","44.4"
"95121","","2161.0","2875.0","","2495.0","1","6","10","0","37469","8454","82568","100290","4.43","0","22.8","3.2","52.3","32.5","49.9","35.3"
"95122","1762.0","2187.0","2420.0","","2200.0","6","10","10","1","56545","11856.7","56581","67116","4.77","0","28.5","2.4","30","62.7","51.4","30.1"
"95123","1992.0","2275.0","2985.0","","2330.0","43","127","51","0","62228","7478.1","85494","100041","8.32","0","55.9","4.2","18.8","30.2","49.2","35.9"
"95124","1795.0","2300.0","3250.0","1495.0","2362.0","21","24","32","5","47082","7166.5","104514","120841","6.57","0","72","1.6","13.8","17.3","49.6","39.7"
"95125","1722.0","2495.0","3300.0","1387.0","2235.0","62","76","21","4","51939","6488.5","95316","130583","8","0","69.1","3.1","11.5","25.2","48.4","39.9"
"95126","2345.0","2833.0","3700.0","1495.0","2522.0","91","109","33","11","31049","9458.8","69407","94710","3.28","0","54.5","5.4","14","38.3","50.7","33.3"
"95127","1550.0","2000.0","2750.0","1300.0","2100.0","7","23","16","4","61325","4713.1","69365","86953","13.01","0","40.6","2.3","20.8","59.1","51.1","32.9"
"95128","1850.0","2270.0","3300.0","1525.0","2075.0","56","62","15","10","34836","8922.8","65805","91481","3.9","0","57.4","4.3","13.9","37.2","49.9","35.1"
"95129","2200.0","2650.0","3747.0","1580.0","2304.0","50","49","28","28","38720","8581.5","102701","123721","4.51","0","34.1","1.4","57.7","7.3","49.2","39.4"
"95130","1625.0","2299.0","3350.0","","2299.0","9","11","11","1","13911","8929.9","98819","111725","1.56","0","57.5","3.4","25","18.3","49.9","38.2"
"95131","2223.0","2500.0","2997.0","","2770.0","7","43","22","0","28565","4913.1","102954","118843","5.81","0","16.4","2.7","70.4","13.6","50.2","35.8"
"95132","2073.0","2333.0","2780.0","","2333.0","27","14","13","1","40299","760.4","93896","105020","50.97","2.03","24.3","2.5","60.6","17","50","38.3"
"95133","1995.0","2487.0","3000.0","","2600.0","8","12","9","0","25401","7982.3","67444","86580","3.18","0","19.6","2.5","60.8","24.5","49.3","36.1"
"95134","2575.0","3010.0","3765.0","2235.0","2760.0","355","397","54","61","15268","1562.2","104814","119323","9.48","0.29","33.7","4.2","50.8","14","52","31.9"
"95135","","2800.0","3770.0","","3690.0","2","3","12","0","20120","657.7","113806","134791","30.59","0","36.8","2.1","52.6","11.3","47.9","43.5"
"95136","2145.0","2506.0","3040.0","1745.0","2416.0","55","44","33","3","42989","9072.2","87564","104888","4.73","0","47.3","5","27.7","28.2","49","34.8"
"95138","","2525.0","2899.0","","2847.0","2","3","9","0","18889","724.6","144912","191938","26.07","0","37.4","3.1","46.8","17.1","48.8","36.7"
"95139","","","","","","0","0","0","0","6748","5482.1","95000","113708","1.23","0","60.6","3.9","15.7","28.2","50.3","37.4"
"95140","","","","","","0","0","0","0","191","1.5","162167","148348","123.73","0.08","84.8","1.1","3.7","4.7","57.6","47.3"
"95148","1952.0","2619.0","3134.0","","2619.0","6","6","10","0","45528","4782.4","105577","121847","9.42","0.1","21.3","3.2","57.2","26.4","50","36.6"
"95206","","","","","","0","0","0","0","65004","425.6","43454","54231","144.92","7.8","23.8","14.7","18.9","56.5","49.9","27.7"
"95219","","1177.0","","","1157.0","1","6","0","0","27884","431.5","75992","99636","56.86","7.76","54.1","9.4","20.7","23.5","48.1","36"
"95234","","","","","","0","0","0","0","70","2","NA","NA","33.59","2.12","44.3","1.4","NA","90","57.1","25.5"
"95304","","","","","","0","0","1","0","15706","96.4","78904","102837","159.44","3.49","65.7","10","7.4","29","62.4","37.2"
"95322","","","","","","0","0","0","0","8942","49.3","43187","55855","174.18","7.26","68.7","1.2","1.7","53.9","51.3","33.8"
"95360","","","","","","0","1","0","0","11712","34.8","44252","53896","334.72","1.68","67.1","2.1","1.7","61.1","49.8","31"
"95363","","","","","","0","0","0","0","25237","213.3","56485","70924","118.04","0.3","51.5","5.7","4.7","58.3","50.8","29.9"
"95376","1365.0","1372.0","1600.0","","1425.0","4","10","7","0","49859","6530.1","63446","78960","7.64","0","56.3","6.7","8.7","42.7","49.7","32.3"
"95377","","","1925.0","","1859.0","1","2","4","0","30902","285.9","96548","106521","108.05","0.03","47.3","7.6","23.7","28.8","49.6","32.3"
"95387","","","","","","0","0","0","0","636","5.5","44647","51208","115.89","0.03","47","0.5","3.3","77.8","52","29.1"
"95391","","","1987.0","800.0","1872.0","0","1","4","3","9959","412","105357","110042","23.75","0.42","36.8","9.1","38.5","17.6","49.7","31.5"
"95401","1339.0","2085.0","2250.0","1000.0","1750.0","32","37","20","5","36981","1791.7","54840","66881","20.62","0.02","67.1","2.3","4.3","35.9","49.7","34"
"95403","1634.0","1739.0","2395.0","2250.0","1662.0","108","66","22","4","45164","2046.6","58960","78963","22.01","0.06","70.9","2.7","5.6","28.2","49.8","36.3"
"95404","1325.0","1800.0","2397.0","937.0","1495.0","35","30","14","8","39761","497","66049","91225","79.97","0.02","78.2","1.9","4.1","21.6","48.5","40.5"
"95405","1699.0","1898.0","2350.0","","1712.0","53","55","10","2","21399","3907.5","69018","88264","5.48","0","84","1.4","3.3","13.1","47","42.9"
"95407","1150.0","1560.0","1900.0","","1555.0","19","17","7","1","39352","1734.6","54781","67399","22.68","0","53.6","3","6.3","51.6","51.5","30.4"
"95409","1365.0","1949.0","2500.0","","1915.0","17","38","16","2","27187","703.7","65757","83484","38.37","0.26","84.6","1.6","4.1","11.9","46.4","49.3"
"95412","","","","","","0","0","0","0","401","4.7","43125","50531","85.68","0","66.8","NA","0.5","26.7","51.9","44.1"
"95421","1950.0","","","","2225.0","3","0","1","0","1592","7.3","63125","79646","216.63","0.31","87.9","0.2","2.5","9.4","52.8","51.5"
"95425","950.0","1500.0","1935.0","","1650.0","3","4","6","0","10841","51.2","57155","73673","205.71","5.9","76.8","0.5","1.1","29.9","50.3","41.8"
"95426","","","","","","0","1","1","0","2147","105.8","60968","69185","20.28","0.01","91.2","0.7","0.7","6.3","51.2","50.2"
"95430","","","","","","0","0","0","0","44","185.2","NA","NA","0.24","0","81.8","NA","NA","18.2","40.9","58"
"95436","","1595.0","","","1590.0","2","4","2","1","5418","232.4","50654","63354","22.98","0.33","88.6","0.8","1.4","11.7","51.1","47.4"
"95439","","","","","","0","0","1","0","675","246.5","48750","76061","2.74","0","72.3","0.4","1.6","28","50.2","42.9"
"95441","","","","","","0","0","0","0","2014","19.4","61652","88288","101.91","1.82","74.3","0.4","0.9","38.1","54.6","42.1"
"95442","","","","","1400.0","2","1","0","0","3178","129.9","56170","103011","24.41","0.06","86.6","0.6","2.2","14.9","49.8","49.8"
"95444","","","","","","0","1","0","0","748","2764.1","71747","87560","0.27","0","76.2","0.1","2","27.8","47.5","43.7"
"95445","","","","","","0","0","0","0","2093","23.7","37500","54560","85.54","2.84","84.4","0.3","1","19.2","50.1","51.8"
"95446","1075.0","1450.0","1900.0","","1195.0","10","5","3","2","4750","143.6","41267","59155","32.92","0.17","87.7","0.7","1","11.3","54.5","49.1"
"95448","1500.0","1750.0","2600.0","","1850.0","7","13","11","1","16852","89.1","64004","91080","188.5","0.56","77.2","0.6","1.3","29.1","50.2","43.5"
"95449","","","","","","0","0","0","0","1507","11.5","29125","50178","130.59","0.37","67.5","0.5","0.9","30.9","54.5","39.2"
"95450","","","","","","1","0","0","0","387","14","50500","76441","27.45","0.27","92.8","0.8","1","7.8","54","55.6"
"95451","","900.0","1525.0","","1400.0","0","3","8","0","11213","110.4","44644","58020","96.18","5.4","79.8","1","1","21.9","50","44.6"
"95452","","","","","2100.0","1","2","1","0","1393","96.9","63180","144757","14.37","0","91.4","0.4","1.9","7","49.6","54.3"
"95457","","","","","","1","0","1","0","2893","19","45862","60408","148.41","4.22","84.4","2.2","0.7","13.2","52.1","49"
"95461","","","","","","0","1","0","0","3413","27.1","52917","68471","125.22","0.71","83","0.6","1","16.9","52","45.7"
"95462","990.0","","","","1000.0","4","1","1","0","1417","231.1","36900","49616","5.87","0.26","90.3","0.7","1.1","6.8","53.1","51.6"
"95465","","","","","","1","1","0","0","2083","49.3","74429","100122","41.71","0.56","90.3","0.4","1.4","6.7","51.1","50"
"95467","","","","","","0","1","0","0","5498","551.5","63958","76403","9.81","0.15","86.6","1.2","1.4","13","49.3","41.2"
"95471","","1600.0","","","1600.0","0","3","0","0","522","362","41923","44377","1.44","0","84.9","0.8","1.3","10.9","53.5","47.6"
"95472","1295.0","1550.0","3300.0","","1490.0","17","14","5","0","28255","408.4","70305","89449","69.14","0.04","89.9","0.8","1.7","10.2","48.2","48.8"
"95476","1300.0","2000.0","2700.0","","2000.0","23","30","19","0","35394","313.8","58012","94132","111.99","0.82","80.4","0.5","2.1","28.2","48.1","44.9"
"95492","","1650.0","2400.0","","2350.0","0","5","11","0","28532","1498.2","79017","92382","19.03","0.02","74","0.8","2.9","31.6","49.4","37.2"
"95497","","","","","","0","0","0","0","1305","80.4","57400","87165","16.16","0.09","93.5","1.2","0.8","9","47.8","63.7"
"95606","","","","","","0","0","0","0","196","5.4","175833","136648","36.32","0","69.4","1","1.5","16.8","52.6","40.8"
"95607","","","","","","0","0","0","0","431","3.2","105433","84018","134.25","0.25","78","1.2","1.6","16.9","51.7","49.5"
"95612","","","","","","0","0","0","0","1239","21.3","54167","66637","55.48","2.77","75.8","0.2","3.9","35.8","50.9","44"
"95615","","","","","","0","0","1","0","834","34.7","60694","75121","23.24","0.83","67.6","0.1","2.3","54.3","53","37.9"
"95616","1100.0","1360.0","2040.0","","1255.0","13","17","5","2","47032","1705.2","47946","78428","27.56","0.02","63.1","2.2","23.5","12","46.6","23.4"
"95618","1095.0","1257.0","","","1225.0","3","6","1","0","27281","778.8","82490","107864","34.93","0.1","64.8","2.4","21.8","13.3","48.7","28.4"
"95620","","","","","1153.0","0","1","2","1","20553","84.3","71043","80236","240.76","2.91","70.9","2.8","3.5","41.5","49.8","33.6"
"95625","","","","","","0","0","0","0","155","134.2","73702","66093","1.15","0","81.9","NA","1.3","18.1","55.5","41.7"
"95637","","","","","","0","0","0","0","370","17.5","78029","82147","21.09","0","74.1","9.7","0.3","20","50","52.7"
"95641","","","","","875.0","1","1","0","1","1986","42.2","35417","48280","44.62","2.48","74.8","1.3","3.7","29.8","53.1","50"
"95679","","","","","","0","0","0","0","55","1.2","NA","NA","45.9","0.27","94.6","NA","1.8","10.9","50.9","47.1"
"95680","","","","","","0","0","0","0","146","70.7","NA","NA","2.01","0.05","60.3","NA","2.1","55.5","52.7","33.7"
"95687","1279.0","1517.0","1680.0","1178.0","1505.0","25","46","10","3","65096","1487.6","72555","84775","43.52","0.24","64.4","12.6","6.4","21.5","54.6","37.9"
"95688","1350.0","1300.0","1660.0","","1474.0","5","7","8","0","34379","422","80727","99957","81.19","0.29","72.8","4.4","4.9","24.5","49.4","37.9"
"95690","","","","","","0","0","0","0","2533","42.1","64681","91912","57.28","2.93","63.8","1.2","5.2","50.7","53.4","39"
"95694","","","","","","0","0","0","0","9156","61.2","64815","82610","149.21","0.37","70.8","0.8","1.1","49.1","50.8","37.7"
